
Timestamp(ms),GaugeValue,HeadPos.x,HeadPos.y,HeadPos.z,HeadForward.x,HeadForward.y,HeadForward.z,GazePos.x,GazePos.y,GazePos.z,GazeDirection.x,GazeDirection.y,GazeDirection.z,ObjLookingAt
1758856076789,81.282,0.004,0.822,0.219,-0.036,0.107,0.994,0.004,1.119,0.074,-0.398,0.026,0.917,Popup_2
1758856076846,81.282,0.003,0.822,0.219,-0.042,0.106,0.994,0.004,1.119,0.074,-0.473,-0.005,0.881,Popup_2
1758856076924,81.282,0.002,0.821,0.219,-0.056,0.102,0.993,0.002,1.118,0.074,-0.489,-0.011,0.872,Popup_2
1758856076979,81.282,0,0.82,0.219,-0.07,0.094,0.993,0,1.117,0.074,-0.497,-0.017,0.868,Popup_2
1758856077034,81.282,-0.001,0.82,0.219,-0.08,0.091,0.993,-0.002,1.117,0.074,-0.499,-0.017,0.866,Popup_2
1758856077092,81.282,-0.002,0.82,0.219,-0.085,0.089,0.992,-0.002,1.117,0.074,-0.502,-0.016,0.865,Popup_2
1758856077124,81.282,-0.003,0.82,0.219,-0.086,0.089,0.992,-0.003,1.117,0.074,-0.489,-0.012,0.872,Popup_2
1758856077204,81.282,-0.003,0.82,0.22,-0.081,0.089,0.993,-0.003,1.117,0.075,-0.479,-0.014,0.878,Popup_2
1758856077258,81.282,-0.003,0.82,0.22,-0.081,0.088,0.993,-0.003,1.117,0.075,-0.47,-0.011,0.883,Popup_2
1758856077316,81.282,-0.003,0.82,0.22,-0.081,0.089,0.993,-0.003,1.117,0.075,-0.465,-0.015,0.885,Popup_2
1758856077346,81.282,-0.003,0.82,0.22,-0.082,0.089,0.993,-0.003,1.117,0.075,-0.456,-0.012,0.89,Popup_2
1758856077403,81.282,-0.003,0.82,0.219,-0.081,0.089,0.993,-0.003,1.117,0.075,-0.46,-0.012,0.888,Popup_2
1758856077480,81.282,-0.003,0.82,0.219,-0.079,0.089,0.993,-0.003,1.117,0.074,-0.453,-0.013,0.891,Popup_2
1758856077539,81.282,-0.003,0.82,0.219,-0.079,0.09,0.993,-0.003,1.117,0.074,-0.453,-0.012,0.892,Popup_2
1758856077569,81.282,-0.002,0.82,0.219,-0.079,0.09,0.993,-0.003,1.117,0.074,-0.457,-0.012,0.89,Popup_2
1758856077645,81.282,-0.002,0.82,0.22,-0.078,0.09,0.993,-0.002,1.117,0.075,-0.465,-0.014,0.885,Popup_2
1758856077676,81.282,-0.002,0.82,0.22,-0.078,0.09,0.993,-0.002,1.117,0.075,-0.46,-0.015,0.888,Popup_2
1758856077732,81.282,-0.002,0.82,0.22,-0.076,0.089,0.993,-0.002,1.117,0.075,-0.46,-0.015,0.888,Popup_2
